Date,Close
2015-5-21 下午04:00:00,0.06
2015-5-22 下午04:00:00,0.06
2015-5-25 下午04:00:00,0.06
2015-6-2 下午04:00:00,0.06
2015-6-23 下午04:00:00,0.12
2015-7-16 下午04:00:00,0.24
2015-7-20 下午04:00:00,0.24
2015-7-21 下午04:00:00,0.24
2015-7-24 下午04:00:00,0.42
2015-7-29 下午04:00:00,0.24
2015-8-5 下午04:00:00,0.24
2015-8-6 下午04:00:00,0.24
2015-8-7 下午04:00:00,0.18
2015-8-12 下午04:00:00,0.24
2015-8-13 下午04:00:00,0.18
2015-8-19 下午04:00:00,0.18
2015-8-24 下午04:00:00,0.18
2015-8-25 下午04:00:00,0.3
2015-8-27 下午04:00:00,0.12
2015-8-31 下午04:00:00,0.18
2015-9-1 下午04:00:00,0.18
2015-9-8 下午04:00:00,0.12
2015-9-9 下午04:00:00,0.24
2015-9-10 下午04:00:00,0.24
2015-9-15 下午04:00:00,0.48
2015-9-18 下午04:00:00,0.48
2015-9-22 下午04:00:00,0.6
2015-9-23 下午04:00:00,0.24
2015-9-28 下午04:00:00,0.24
2015-10-8 下午04:00:00,0.3
2015-10-13 下午04:00:00,0.24
2015-10-16 下午04:00:00,0.24
2015-10-19 下午04:00:00,0.24
2015-10-22 下午04:00:00,0.24
2015-10-23 下午04:00:00,0.24
2015-10-26 下午04:00:00,0.24
2015-11-10 下午04:00:00,0.24
2015-11-17 下午04:00:00,0.24
2015-11-18 下午04:00:00,0.24
2015-11-20 下午04:00:00,0.24
2015-11-24 下午04:00:00,0.18
2015-11-26 下午04:00:00,0.18
2015-12-3 下午04:00:00,0.18
2015-12-4 下午04:00:00,0.24
2015-12-7 下午04:00:00,0.18
2015-12-8 下午04:00:00,0.18
2015-12-9 下午04:00:00,0.24
2015-12-10 下午04:00:00,0.9
2015-12-16 下午04:00:00,0.6
2015-12-17 下午04:00:00,0.3
2015-12-23 下午04:00:00,0.24
2015-12-31 下午04:00:00,0.3
2016-1-6 下午04:00:00,0.3
2016-1-8 下午04:00:00,0.3
2016-1-12 下午04:00:00,0.3
2016-1-19 下午04:00:00,0.36
2016-1-20 下午04:00:00,0.36
2016-1-21 下午04:00:00,0.3
2016-1-28 下午04:00:00,0.18
2016-1-29 下午04:00:00,0.36
2016-2-3 下午04:00:00,0.48
2016-2-5 下午04:00:00,0.24
2016-2-8 下午04:00:00,0.24
2016-2-9 下午04:00:00,0.24
2016-2-16 下午04:00:00,0.42
2016-2-26 下午04:00:00,0.48
2016-3-1 下午04:00:00,0.42
2016-3-3 下午04:00:00,0.36
2016-3-4 下午04:00:00,0.42
2016-3-7 下午04:00:00,0.42
2016-3-10 下午04:00:00,0.42
2016-3-11 下午04:00:00,0.48
2016-3-17 下午04:00:00,0.42
2016-3-21 下午04:00:00,0.42
2016-3-22 下午04:00:00,0.42
2016-3-29 下午04:00:00,0.3
2016-4-1 下午04:00:00,0.3
2016-4-4 下午04:00:00,0.42
2016-4-5 下午04:00:00,0.6
2016-4-6 下午04:00:00,0.66
2016-4-7 下午04:00:00,0.84
2016-4-8 下午04:00:00,1.02
2016-4-11 下午04:00:00,0.96
2016-4-12 下午04:00:00,1.2
2016-4-13 下午04:00:00,1.2
2016-4-14 下午04:00:00,1.38
2016-4-15 下午04:00:00,1.26
2016-4-18 下午04:00:00,1.32
2016-4-19 下午04:00:00,1.8
2016-4-20 下午04:00:00,1.8
2016-4-21 下午04:00:00,1.74
2016-4-22 下午04:00:00,1.62
2016-4-25 下午04:00:00,1.68
2016-4-26 下午04:00:00,1.56
2016-4-27 下午04:00:00,1.5
2016-4-28 下午04:00:00,1.44
2016-4-29 下午04:00:00,1.56
2016-5-2 下午04:00:00,1.56
2016-5-3 下午04:00:00,1.56
2016-5-4 下午04:00:00,1.5
2016-5-5 下午04:00:00,1.44
2016-5-6 下午04:00:00,1.5
2016-5-9 下午04:00:00,1.5
2016-5-10 下午04:00:00,1.5
2016-5-11 下午04:00:00,1.44
2016-5-12 下午04:00:00,1.44
2016-5-13 下午04:00:00,1.5
2016-5-16 下午04:00:00,1.44
2016-5-17 下午04:00:00,1.44
2016-5-18 下午04:00:00,1.32
2016-5-19 下午04:00:00,1.68
2016-5-20 下午04:00:00,1.62
2016-5-24 下午04:00:00,1.44
2016-5-25 下午04:00:00,1.26
2016-5-26 下午04:00:00,1.32
2016-5-27 下午04:00:00,1.44
2016-5-30 下午04:00:00,1.38
2016-5-31 下午04:00:00,1.2
2016-6-1 下午04:00:00,1.2
2016-6-2 下午04:00:00,1.32
2016-6-3 下午04:00:00,1.2
2016-6-6 下午04:00:00,1.44
2016-6-7 下午04:00:00,1.44
2016-6-8 下午04:00:00,1.32
2016-6-9 下午04:00:00,1.2
2016-6-10 下午04:00:00,1.08
2016-6-13 下午04:00:00,1.08
2016-6-14 下午04:00:00,1.08
2016-6-15 下午04:00:00,1.26
2016-6-16 下午04:00:00,1.26
2016-6-17 下午04:00:00,1.32
2016-6-20 下午04:00:00,1.26
2016-6-22 下午04:00:00,1.2
2016-6-23 下午04:00:00,1.2
2016-6-24 下午04:00:00,1.14
2016-6-27 下午04:00:00,1.08
2016-6-28 下午04:00:00,1.08
2016-6-29 下午04:00:00,0.96
