Date,Close
2009-1-5 下午05:40:00,2401.16
2009-1-6 下午05:40:00,2435
2009-1-7 下午05:40:00,2412.06
2009-1-8 下午05:40:00,2419.94
2009-1-9 下午05:40:00,2400
2009-1-12 下午05:40:00,2409.86
2009-1-13 下午05:40:00,2404.8
2009-1-14 下午05:40:00,2380
2009-1-15 下午05:40:00,2429.99
2009-1-16 下午05:40:00,2435
2009-1-19 下午05:40:00,2401
2009-1-20 下午05:40:00,2360
2009-1-21 下午05:40:00,2340
2009-1-22 下午05:40:00,2340
2009-1-23 下午05:40:00,2295
2009-1-26 下午05:40:00,2254
2009-1-27 下午05:40:00,2209.99
2009-1-28 下午05:40:00,2169
2009-1-29 下午05:40:00,2177.93
2009-1-30 下午05:40:00,2180
2009-2-2 下午05:40:00,2185
2009-2-3 下午05:40:00,2124.41
2009-2-4 下午05:40:00,2120.92
2009-2-5 下午05:40:00,2072.23
2009-2-6 下午05:40:00,2090.02
2009-2-9 下午05:40:00,2173
2009-2-10 下午05:40:00,2210.11
2009-2-11 下午05:40:00,2241.72
2009-2-12 下午05:40:00,2229.96
2009-2-13 下午05:40:00,2250
2009-2-16 下午05:40:00,2240.01
2009-2-17 下午05:40:00,2200
2009-2-18 下午05:40:00,2200
2009-2-19 下午05:40:00,2290
2009-2-20 下午05:40:00,2274
2009-2-23 下午05:40:00,2237.51
2009-2-24 下午05:40:00,2180
2009-2-25 下午05:40:00,2269.07
2009-2-26 下午05:40:00,2315
2009-2-27 下午05:40:00,2250
2009-3-2 下午05:40:00,2200.91
2009-3-3 下午05:40:00,2180
2009-3-4 下午05:40:00,2150
2009-3-5 下午05:40:00,2150.1
2009-3-6 下午05:40:00,2178
2009-3-9 下午05:40:00,2189.82
2009-3-10 下午05:40:00,2113.38
2009-3-11 下午05:40:00,2181.89
2009-3-12 下午05:40:00,2167.92
2009-3-13 下午05:40:00,2185
2009-3-16 下午05:40:00,2135
2009-3-17 下午05:40:00,2150
2009-3-18 下午05:40:00,2150
2009-3-19 下午05:40:00,2120
2009-3-20 下午05:40:00,2105
2009-3-23 下午05:40:00,2130.21
2009-3-24 下午05:40:00,2140
2009-3-25 下午05:40:00,2155
2009-3-26 下午05:40:00,2197.99
2009-3-27 下午05:40:00,2199
2009-3-30 下午05:40:00,2171.15
2009-3-31 下午05:40:00,2200
2009-4-1 下午05:40:00,2185
2009-4-2 下午05:40:00,2133
2009-4-3 下午05:40:00,2200
